pmid,studytype,testconcentration,effectiveconcentration,endpoint,perturbations
"PMID:17379376","IVR","750","750","Affects fatty acid metabolism","Metabolic endocrine-mediated perturbations"
"PMID:17379376","IVR","750","750","Affects cholesterol transport","Metabolic endocrine-mediated perturbations"
"PMID:17379376","IVR","750","750","Affects testis development","Developmental endocrine-mediated perturbations; Reproductive endocrine-mediated perturbations"
"PMID:17379376","IVR","750","750","Affects expression of thyroid receptor (TR)","Metabolic endocrine-mediated perturbations"
"PMID:21657945","IVR","750","750","Affects Wnt signaling pathway","Developmental endocrine-mediated perturbations"
"PMID:21657945","IVR","750","750","Abnormal development of gonads in offspring","Developmental endocrine-mediated perturbations; Reproductive endocrine-mediated perturbations"
"PMID:26948521","IVR","750","750","Abnormal development of gonads in offspring","Developmental endocrine-mediated perturbations; Reproductive endocrine-mediated perturbations"
"PMID:26948521","IVR","750","750","Decreased testosterone levels","Reproductive endocrine-mediated perturbations"
"PMID:19903717","IVR","1000","1000","Decreased FSH levels","Reproductive endocrine-mediated perturbations"
"PMID:19903717","IVR","1000","1000","Decreased testis weights","Reproductive endocrine-mediated perturbations"
"PMID:19903717","IVR","1000","1000","Affects steroidogenesis","Reproductive endocrine-mediated perturbations"
"PMID:25765776","IVR","1000","1000","Induce apoptosis of ovarian follicles","Reproductive endocrine-mediated perturbations"
"PMID:25765776","IVR","1000","1000","Decreased estradiol levels","Reproductive endocrine-mediated perturbations"
"PMID:25765776","IVR","1000","1000","Increased FSH levels","Reproductive endocrine-mediated perturbations"
"PMID:25765776","IVR","1000","1000","Affects steroidogenesis","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Changes in morphology of seminiferous tubules","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Abnormal sperm morphology","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Reduced sperm counts","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Increased FSH levels","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Affects intracellular signaling pathway","Metabolic endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Decreased testosterone levels","Reproductive endocrine-mediated perturbations"
"PMID:31387634","IVR","1000","1000","Increased LH levels","Reproductive endocrine-mediated perturbations"
