"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"1-iodoperfluorooctane","PFOI","507-63-1","Wang C, Wang T, Liu W, Ruan T, Zhou Q, Liu J, Zhang A, Zhao B, Jiang G. 2012. The in vitro estrogenic activities of polyfluorinated iodine alkanes. Environ Health Perspect 120(1):119-125. DOI: 10.1289/ehp.1103773. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261944/","Byproduct/Intermediate/Reactant","Wang C, Wang T, Liu W, Ruan T, Zhou Q, Liu J, Zhang A, Zhao B and Jiang G. 2012. The in vitro estrogenic activities of polyfluorinated iodine alkanes. Environ Health Perspect 120(1):119-125. DOI: 10.1289/ehp.1103773. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261944/","01/20/2017","01/20/2017",,,
"1-methoxy-2-propanol","propylene glycol methyl ether; propylene glycol monomethyl ether; 1-methoxy-2-hydroxypropane; 2-methoxy-1-methylethanol; methyl proxitol","107-98-2","Carney EW, Crissman JW, Liberacki AB, Clements CM, Breslin WJ. 1999. Assessment of adult and neonatal reproductive parameters in Sprague-Dawley rats exposed to propylene glycol monomethyl ether vapors for two generations. Toxicol Sci 50(2):249-258. DOI: 10.1093/toxsci/50.2.249. URL: https://academic.oup.com/toxsci/article/50/2/249/2256963","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient, Solvent, Unconventional Oil and Gas","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","03/22/2017","09/18/2017",,,
"1-methylpyrene",,"2381-21-7","Machala M, Vondracek J, Blaha L, Ciganek M, Neca JV. 2001. Aryl hydrocarbon receptor-mediated activity of mutagenic polycyclic aromatic hydrocarbons determined using in vitro reporter gene assay. Mutat Res 497(1-2):49-62. DOI: 10.1016/S1383-5718(01)00240-6. URL: https://www.sciencedirect.com/science/article/pii/S1383571801002406","Byproduct/Intermediate/Reactant, Unconventional Oil and Gas","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Zielinska B, Campbell D, Samburova V. 2014. Impact of emissions from natural gas production facilities on ambient air quality in the Barnett Shale area: a pilot study. J Air Waste Manag Assoc 64(12):1369-1383. DOI: 10.1080/10962247.2014.954735. URL: http://www.tandfonline.com/doi/abs/10.1080/10962247.2014.954735","08/07/2014","03/20/2017",,,
"1-monochloronaphthalene","PCN-1; 1-MoCN","90-13-1","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1-naphthol","naphthol-1","90-15-3","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacology & Immunotoxicology 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20  Mueller GC, Kim UH. 1978. Displacement of estradiol from estrogen receptors by simple alkyl phenols. Endocrinology 102(5):1429-1435. DOI: 10.1210/endo-102-5-1429. URL: https://academic.oup.com/endo/article-abstract/102/5/1429/2618306?redirectedFrom=fulltext","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Medical/Veterinary/Research, Metabolite/Degradate, Personal care product/Cosmetic ingredient","Meeker JD, Barr DB, Serdar B, Rappaport SM, Hauser R. 2007. Utility of urinary 1-naphthol and 2-naphthol levels to assess environmental carbaryl and naphthalene exposure in an epidemiology study. J Expo Sci Environ Epidemiol 17(4):314-320. DOI: 10.1038/sj.jes.7500502. URL: https://www.nature.com/articles/7500502  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","09/23/2013",,,
"1-naphthyl-carbamate"," ","n/a","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacology & Immunotoxicology 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","Medical/Veterinary/Research","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacol Immunotoxicol 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","05/05/2011","05/05/2011",,,
"1-naphthyl-N-methylacetamide"," ","n/a","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacology & Immunotoxicology 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","Medical/Veterinary/Research","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacol Immunotoxicol 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","05/05/2011","05/05/2011",,,
"1-naphthyl-N,N-dimethylcarbamate","N,N-dimethylcarbamic acid 1-naphthalenyl ester","2619-00-3"," 91384-85-9","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacology & Immunotoxicology 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","Medical/Veterinary/Research","Casale GP, Vennerstrom JL, Bavari S, Wang T. 1993. Inhibition of interleukin 2 driven proliferation of mouse CTLL2 cells, by selected carbamate and organophosphate insecticides and congeners of carbaryl. Immunopharmacol Immunotoxicol 15(2 & 3):199-215. DOI: 10.3109/08923979309025994. URL: http://www.tandfonline.com/doi/abs/10.3109/08923979309025994?journalCode=iipi20","05/05/2011","05/05/2011",,
"1,1-bis(4-hydroxyphenyl)propane"," ","1576-13-2","Perez P, Pulgar R, Olea-Serrano F, Villalobos M, Rivas A, Metzler M, Pedraza V, Olea N. 1998. The estrogenicity of bisphenol A-related diphenylalkanes with various substituents at the central carbon and the hydroxy groups. Environ Health Perspect 106(3):167-174. DOI: 10.2307/3434318 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533034/","Plastic/Rubber","Perez P, Pulgar R, Olea-Serrano F, Villalobos M, Rivas A, Metzler M, Pedraza V, Olea N. 1998. The estrogenicity of bisphenol A-related diphenylalkanes with various substituents at the central carbon and the hydroxy groups. Environ Health Perspect 106(3):167-174. DOI: 10.1289/ehp.98106167. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533034/","05/05/2011","09/19/2013",,,
"1,2 butylene oxide","1,2-epoxybutane","106-88-7","National Toxicology Program. NTP Toxicology and Carcinogenesis Studies of 1, 2-Epoxybutane (CAS No. 106-88-7) in F344/N Rats and B6C3F1 Mice (Inhalation Studies). National Toxicology Program technical report series. 1988 Mar;329:1. URL: https://ntp.niehs.nih.gov/results/pubs/longterm/reports/longterm/tr300399/abstracts/tr329/index.html","Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. 2017. Inert Ingredients Overview and Guidance.  URL: https://www.epa.gov/pesticide-registration/inert-ingredients-overview-and-guidance  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","07/13/2017","09/18/2017",,,
"1,2-dichlorobenzene","o-dichlorobenzene","95-50-1","den Besten C, Vet JJRM, Besselink HT, Kiel GS, Beems R, van Bladeren PJV. 1991. The liver, kidney, and thyroid toxicity of chlorinated benzenes. Toxicol Appl Pharmacol 111(1):69-81. DOI: 10.1016/0041-008X(91)90135-2. URL: https://www.sciencedirect.com/science/article/pii/0041008X91901352","Antimicrobial, Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient, Solvent","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"1,2-dihydroxychrysene","1,2-OHCHN","64920-31-6","van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A, Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1):41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279","Metabolite/Degradate","van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A and Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome  P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1): 41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3-trichloropropane","allyl trichloride; glycerol trichlorohydrin; glyceryl trichlorohydrin; trichlorohydrin","96-18-4","Johannsen, F.R., Levinskas, G.J., Rusch, G.M., Terrill, J.B. and Schroeder, R.E., 1988. Evaluation of the subchronic and reproductive effects of a series of chlorinated propanes in the rat. I. Toxicity of 1, 2, 3-trichloropropane. Journal of Toxicology and Environmental Health, Part A Current Issues, 25(3), pp.299-315. DOI: 10.1080/15287398809531211. URL: https://www.tandfonline.com/doi/abs/10.1080/15287398809531211  National Toxicology Program, 1993. NTP Toxicology and Carcinogenesis of 1, 2, 3-Trichloropropane (CAS No. 96-18-4) in F344/N Rats and B6C3F1 Mice (Gavage Studies). National Toxicology Program technical report series, 384, p.1. URL: https://www.ncbi.nlm.nih.gov/pubmed/12692652","Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Pesticide ingredient, Plastic/Rubber, Solvent","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"1,2,3-trihydroxybenzene","pyrogallol","87-66-1","Lindsay RH, Hill JB, Gaitan E, Cooksey RC, Jolley RL. 1992. Antithyroid effects of coal-derived pollutants. J Toxicol Environ Health 37(4):467-481. DOI: 10.1080/15287399209531686. URL: http://www.tandfonline.com/doi/abs/10.1080/15287399209531686?journalCode=uteh19  Van den Berg KJ, van Raaij JAGM, Bragt PC, Notten WRF. 1991. Interactions of halogenated industrial chemicals with transthyretin and effects on thyroid hormone levels in vivo. Arch Toxicol 65(1):15-19. DOI: 10.1007/BF01973497. URL: https://link.springer.com/article/10.1007/BF01973497","Household product ingredient, Industrial additive, Medical/Veterinary/Research","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"1,2,3,4-tetraclorodibenzo-p-dioxin","1,2,3,4-TCDD","30746-58-8","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
"1,2,3,4,5,6,7-heptachloronaphthalene","PCN-73; 1,2,3,4,5,6,7-HpCN","58863-14-2","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,4,5,6,7,8-octachloronaphthalene","PCN-75; OCN","60983-69-9","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,4,6-pentachloronaphthalene","PCN-50; 1,2,3,4,6-PeCN","67922-26-3","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,4,6,7-hexachloronaphthalene"," ","103426-96-6","Omura M, Masuda Y, Hirata M, Tanaka A, Makita Y, Ogata R, Inoue N. 2000. Onset of spermatogenesis is accelerated by gestational administration of 1,2,3,4,6,7-hexachlorinated naphthalene in male rat offspring. Environ Health Perspect 108(6):539-544. DOI: 10.1289/ehp.00108539. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638139/","Byproduct/Intermediate/Reactant","Omura M, Masuda Y, Hirata M, Tanaka A, Makita Y, Ogata R, Inoue N. 2000. Onset of spermatogenesis is accelerated by gestational administration of 1,2,3,4,6,7-hexachlorinated naphthalene in male rat offspring. Environ Health Perspect 108(6):539-544. DOI: 10.1289/ehp.00108539. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1638139/","05/05/2011","05/05/2011",,,
"1,2,3,4,7-pentaclorodibenzo-p-dioxin","1,2,3,4,7-pentaCDD","39227-61-7","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
