pmid,stage2,stage4
"PMID:11020651","1","1"
"PMID:11029267","1","1"
"PMID:11036879","1","1"
"PMID:11053540","1","1"
"PMID:11080347","1","1"
"PMID:11097870","1","1"
"PMID:11099646","1","1"
"PMID:11099647","1","1"
"PMID:11137316","1","1"
"PMID:11222873","1","1"
"PMID:11229807","1","1"
"PMID:11248141","1","1"
"PMID:11259270","1","1"
"PMID:11268341","1","1"
"PMID:11275424","1","1"
"PMID:11288928","1","1"
"PMID:11294987","1","1"
"PMID:11298497","1","1"
"PMID:11333184","1","1"
"PMID:11459643","1","1"
"PMID:11474214","1","1"
"PMID:11485868","1","1"
"PMID:11489596","1","1"
"PMID:11503077","1","1"
"PMID:11509742","1","1"
"PMID:11534990","1","1"
"PMID:11563414","1","1"
"PMID:11583652","1","1"
"PMID:11675267","1","1"
"PMID:11693576","1","1"
"PMID:11696396","1","1"
"PMID:11696407","1","1"
"PMID:11714251","1","1"
"PMID:11760811","1","1"
"PMID:11823001","1","1"
"PMID:11836070","1","1"
"PMID:11836072","1","1"
"PMID:11849735","1","1"
"PMID:11861977","1","1"
"PMID:11869873","1","1"
"PMID:11876496","1","1"
"PMID:11896295","1","1"
"PMID:11896564","1","1"
"PMID:11914775","1","1"
"PMID:11934530","1","1"
"PMID:11936222","1","1"
"PMID:11961216","1","1"
"PMID:11969380","1","1"
"PMID:12003759","1","1"
"PMID:12044704","1","1"
"PMID:12050258","1","1"
"PMID:12051553","1","1"
"PMID:12052007","1","1"
"PMID:12060837","1","1"
"PMID:12060841","1","1"
"PMID:12080015","1","1"
"PMID:12083789","1","1"
"PMID:12112315","1","1"
"PMID:12127004","1","1"
"PMID:12127262","1","1"
"PMID:12128101","1","1"
"PMID:12128104","1","1"
"PMID:12132656","1","1"
"PMID:12148547","1","1"
"PMID:12151630","1","1"
"PMID:12153753","1","1"
"PMID:12204829","1","1"
"PMID:12206822","1","1"
"PMID:12209177","1","1"
"PMID:12210494","1","1"
"PMID:12210538","1","1"
"PMID:12220594","1","1"
"PMID:12230427","1","1"
"PMID:12242606","1","1"
"PMID:12383709","1","1"
"PMID:12397409","1","1"
"PMID:12419695","1","1"
"PMID:12419697","1","1"
"PMID:12446607","1","1"
"PMID:12458191","1","1"
"PMID:12460804","1","1"
"PMID:12473415","1","1"
"PMID:12490131","1","1"
"PMID:12492412","1","1"
"PMID:12504345","1","1"
"PMID:12520077","1","1"
"PMID:12533912","1","1"
"PMID:12535155","1","1"
"PMID:12538606","1","1"
"PMID:12547330","1","1"
"PMID:12571679","1","1"
"PMID:12573901","1","1"
"PMID:12579207","1","1"
"PMID:12589653","1","1"
"PMID:12594526","1","1"
"PMID:12604174","1","1"
"PMID:12606370","1","1"
"PMID:12629420","1","1"
"PMID:12631470","1","1"
"PMID:12642156","1","1"
"PMID:12676599","1","1"
"PMID:12686300","1","1"
"PMID:12692649","1","1"
"PMID:12692652","1","1"
"PMID:12697716","1","1"
"PMID:12704433","1","1"
"PMID:12709020","1","1"
"PMID:12737316","1","1"
"PMID:12748682","1","1"
"PMID:12748685","1","1"
"PMID:12748709","1","1"
"PMID:12748739","1","1"
"PMID:12750745","1","1"
"PMID:12753421","1","1"
"PMID:12759095","1","1"
"PMID:12765246","1","1"
"PMID:12773765","1","1"
"PMID:12798765","1","1"
"PMID:12799720","1","1"
"PMID:12842174","1","1"
"PMID:12858169","1","1"
"PMID:12858341","1","1"
"PMID:12865045","1","1"
"PMID:12913283","1","1"
"PMID:12916763","1","1"
"PMID:12919727","1","1"
"PMID:12927363","1","1"
"PMID:12954667","1","1"
"PMID:12962971","1","1"
"PMID:12963004","1","1"
"PMID:13211643","1","1"
"PMID:13258259","1","1"
"PMID:13384383","1","1"
"PMID:13893674","1","1"
"PMID:14555195","1","1"
"PMID:14555200","1","1"
"PMID:14563396","1","1"
"PMID:14580781","1","1"
"PMID:14580783","1","1"
"PMID:14598022","1","1"
"PMID:14599506","1","1"
"PMID:14613717","1","1"
"PMID:14636701","1","1"
"PMID:14643963","1","1"
"PMID:14654251","1","1"
"PMID:14657523","1","1"
"PMID:14664715","1","1"
"PMID:14667468","1","1"
"PMID:14680992","1","1"
"PMID:14689164","1","1"
"PMID:14691014","1","1"
"PMID:14692339","1","1"
"PMID:14695980","1","1"
"PMID:14706564","1","1"
"PMID:14706572","1","1"
"PMID:14709801","1","1"
"PMID:14711791","1","1"
"PMID:14718648","1","1"
"PMID:14736814","1","1"
"PMID:14746342","1","1"
"PMID:14746872","1","1"
"PMID:14749093","1","1"
"PMID:14751673","1","1"
"PMID:14757517","1","1"
"PMID:14763995","1","1"
"PMID:14925120","1","1"
"PMID:14966743","1","1"
"PMID:14967906","1","1"
"PMID:14967926","1","1"
"PMID:14999130","1","1"
"PMID:15012627","1","1"
"PMID:15013064","1","1"
"PMID:15013065","1","1"
"PMID:15016594","1","1"
"PMID:15019959","1","1"
"PMID:15051418","1","1"
"PMID:15056801","1","1"
"PMID:15079872","1","1"
"PMID:15087269","1","1"
"PMID:15110097","1","1"
"PMID:15118252","1","1"
"PMID:15128172","1","1"
"PMID:15130599","1","1"
"PMID:15132767","1","1"
"PMID:15147785","1","1"
"PMID:15147795","1","1"
"PMID:15150316","1","1"
"PMID:15158566","1","1"
"PMID:15162385","1","1"
"PMID:15166399","1","1"
"PMID:15187238","1","1"
"PMID:15203435","1","1"
"PMID:15219628","1","1"
"PMID:15229365","1","1"
"PMID:15253041","1","1"
"PMID:15261991","1","1"
"PMID:15265578","1","1"
"PMID:15276081","1","1"
"PMID:15279874","1","1"
"PMID:15279877","1","1"
"PMID:15310862","1","1"
"PMID:15315699","1","1"
"PMID:15337578","1","1"
"PMID:15363582","1","1"
"PMID:15371226","1","1"
"PMID:15372139","1","1"
"PMID:15379888","1","1"
"PMID:15379967","1","1"
"PMID:15456915","1","1"
"PMID:15458793","1","1"
"PMID:15458794","1","1"
"PMID:15458796","1","1"
"PMID:15458797","1","1"
"PMID:15470002","1","1"
"PMID:15501383","1","1"
"PMID:15509668","1","1"
"PMID:15518916","1","1"
"PMID:15548368","1","1"
"PMID:15585367","1","1"
"PMID:15589235","1","1"
"PMID:15596228","1","1"
"PMID:15596257","1","1"
"PMID:15597897","1","1"
"PMID:15599112","1","1"
"PMID:15620428","1","1"
"PMID:15635150","1","1"
"PMID:15635152","1","1"
"PMID:15646809","1","1"
"PMID:15646816","1","1"
"PMID:15649250","1","1"
"PMID:15664432","1","1"
"PMID:15687051","1","1"
"PMID:15697179","1","1"
"PMID:15705771","1","1"
"PMID:15708785","1","1"
"PMID:15716479","1","1"
"PMID:15721882","1","1"
"PMID:15738621","1","1"
"PMID:15746010","1","1"
"PMID:15751030","1","1"
"PMID:15758249","1","1"
"PMID:15758561","1","1"
"PMID:15808788","1","1"
"PMID:15832825","1","1"
"PMID:15862022","1","1"
"PMID:15866537","1","1"
"PMID:15867144","1","1"
"PMID:15883486","1","1"
"PMID:15884376","1","1"
"PMID:15888671","1","1"
"PMID:15890768","1","1"
"PMID:15891268","1","1"
"PMID:15894438","1","1"
"PMID:15902423","1","1"
"PMID:15929892","1","1"
"PMID:15929894","1","1"
"PMID:15930323","1","1"
"PMID:15933200","1","1"
"PMID:15941009","1","1"
"PMID:15942997","1","1"
"PMID:15951094","1","1"
"PMID:15963341","1","1"
"PMID:15979666","1","1"
"PMID:15997204","1","1"
"PMID:16005607","1","1"
"PMID:16023279","1","1"
"PMID:16029874","1","1"
"PMID:16079077","1","1"
"PMID:16112788","1","1"
"PMID:16121321","1","1"
"PMID:16123166","1","1"
"PMID:16144812","1","1"
"PMID:16162389","1","1"
"PMID:16167324","1","1"
"PMID:16177221","1","1"
"PMID:16177243","1","1"
"PMID:16203236","1","1"
"PMID:16216300","1","1"
"PMID:16221967","1","1"
"PMID:16243481","1","1"
"PMID:16249068","1","1"
"PMID:16260617","1","1"
"PMID:16280211","1","1"
"PMID:16284450","1","1"
"PMID:16289407","1","1"
"PMID:16291562","1","1"
"PMID:16321413","1","1"
"PMID:16323634","1","1"
"PMID:16324804","1","1"
"PMID:16326419","1","1"
"PMID:16326440","1","1"
"PMID:16330350","1","1"
"PMID:16368123","1","1"
"PMID:16396990","1","1"
"PMID:16400681","1","1"
"PMID:16423328","1","1"
"PMID:16427766","1","1"
"PMID:16439099","1","1"
"PMID:16440597","1","1"
"PMID:16442836","1","1"
"PMID:16443249","1","1"
"PMID:16443925","1","1"
"PMID:16451854","1","1"
"PMID:16455139","1","1"
"PMID:16458459","1","1"
"PMID:16464526","1","1"
"PMID:16472551","1","1"
"PMID:16493179","1","1"
"PMID:16513093","1","1"
"PMID:16540110","1","1"
"PMID:16613991","1","1"
"PMID:16641539","1","1"
"PMID:16641540","1","1"
"PMID:16641542","1","1"
"PMID:16641544","1","1"
"PMID:16641545","1","1"
"PMID:16641546","1","1"
"PMID:16673813","1","1"
"PMID:16675520","1","1"
"PMID:16678967","1","1"
"PMID:16705042","1","1"
"PMID:16710696","1","1"
"PMID:16723702","1","1"
"PMID:16732769","1","1"
"PMID:16740699","1","1"
"PMID:16750591","1","1"
"PMID:16758764","1","1"
"PMID:16759992","1","1"
"PMID:16777378","1","1"
"PMID:16783732","1","1"
"PMID:16786173","1","1"
"PMID:16806747","1","1"
"PMID:16818065","1","1"
"PMID:16819149","1","1"
"PMID:16822498","1","1"
"PMID:16837734","1","1"
"PMID:16847671","1","1"
"PMID:16857750","1","1"
"PMID:16884752","1","1"
"PMID:16914289","1","1"
"PMID:16935330","1","1"
"PMID:16949715","1","1"
"PMID:16962624","1","1"
"PMID:16971034","1","1"
"PMID:16973726","1","1"
"PMID:16973756","1","1"
"PMID:16984955","1","1"
"PMID:16984958","1","1"
"PMID:16985261","1","1"
"PMID:16996190","1","1"
"PMID:17010207","1","1"
"PMID:17011691","1","1"
"PMID:17011747","1","1"
"PMID:17023525","1","1"
"PMID:17033158","1","1"
"PMID:17038804","1","1"
"PMID:17050859","1","1"
"PMID:17066414","1","1"
"PMID:17080404","1","1"
"PMID:17093138","1","1"
"PMID:17109964","1","1"
"PMID:17113258","1","1"
"PMID:17123754","1","1"
"PMID:17123778","1","1"
"PMID:17157476","1","1"
"PMID:17160105","1","1"
"PMID:17170213","1","1"
"PMID:17179639","1","1"
"PMID:17182006","1","1"
"PMID:17184923","1","1"
"PMID:17188730","1","1"
"PMID:17213693","1","1"
"PMID:17218470","1","1"
"PMID:17229994","1","1"
"PMID:17235438","1","1"
"PMID:17241728","1","1"
"PMID:17286146","1","1"
"PMID:17329077","1","1"
"PMID:17331471","1","1"
"PMID:17361017","1","1"
"PMID:17365578","1","1"
"PMID:17379376","1","1"
"PMID:17379648","1","1"
"PMID:17394237","1","1"
"PMID:17400581","1","1"
"PMID:17426428","1","1"
"PMID:17443786","1","1"
"PMID:17447562","1","1"
"PMID:17450229","1","1"
"PMID:17456458","1","1"
"PMID:17463061","1","1"
"PMID:17467901","1","1"
"PMID:17474020","1","1"
"PMID:17485921","1","1"
"PMID:17508988","1","1"
"PMID:17520056","1","1"
"PMID:17520059","1","1"
"PMID:17537412","1","1"
"PMID:17555868","1","1"
"PMID:17558187","1","1"
"PMID:17568585","1","1"
"PMID:17574328","1","1"
"PMID:17574608","1","1"
"PMID:17634926","1","1"
"PMID:17644232","1","1"
"PMID:17651886","1","1"
"PMID:17654256","1","1"
"PMID:17673432","1","1"
"PMID:17679765","1","1"
"PMID:17683461","1","1"
"PMID:17686919","1","1"
"PMID:17689037","1","1"
"PMID:17692527","1","1"
"PMID:17698168","1","1"
"PMID:17719163","1","1"
"PMID:17725530","1","1"
"PMID:17785682","1","1"
"PMID:17804194","1","1"
"PMID:17822730","1","1"
"PMID:17827700","1","1"
"PMID:17848404","1","1"
"PMID:17889981","1","1"
"PMID:17904202","1","1"
"PMID:17904329","1","1"
"PMID:17905137","1","1"
"PMID:17924095","1","1"
"PMID:17931804","1","1"
"PMID:17934922","1","1"
"PMID:17937291","1","1"
"PMID:17964054","1","1"
"PMID:17964624","1","1"
"PMID:17983274","1","1"
"PMID:17984146","1","1"
"PMID:17992702","1","1"
"PMID:18007998","1","1"
"PMID:18022659","1","1"
"PMID:18025052","1","1"
"PMID:18025854","1","1"
"PMID:18042343","1","1"
"PMID:18048496","1","1"
"PMID:18057729","1","1"
"PMID:18062813","1","1"
"PMID:18067565","1","1"
"PMID:18087588","1","1"
"PMID:18087590","1","1"
"PMID:18087818","1","1"
"PMID:18093177","1","1"
"PMID:18096570","1","1"
"PMID:18161511","1","1"
"PMID:18164361","1","1"
"PMID:18174949","1","1"
"PMID:18174953","1","1"
"PMID:18174954","1","1"
"PMID:18180321","1","1"
"PMID:18204070","1","1"
"PMID:18220299","1","1"
"PMID:18226067","1","1"
"PMID:18246498","1","1"
"PMID:18252804","1","1"
"PMID:18255212","1","1"
"PMID:18276755","1","1"
"PMID:18284931","1","1"
"PMID:18288313","1","1"
"PMID:18293209","1","1"
"PMID:18296022","1","1"
"PMID:18301880","1","1"
"PMID:18304984","1","1"
"PMID:18308070","1","1"
"PMID:18308839","1","1"
"PMID:18309234","1","1"
"PMID:18313098","1","1"
"PMID:18322279","1","1"
"PMID:18335096","1","1"
"PMID:18355748","1","1"
"PMID:18383315","1","1"
"PMID:18418863","1","1"
"PMID:18419197","1","1"
"PMID:18440200","1","1"
"PMID:18457868","1","1"
"PMID:18461179","1","1"
"PMID:18468972","1","1"
"PMID:18470304","1","1"
"PMID:18560529","1","1"
"PMID:18560531","1","1"
"PMID:18571719","1","1"
"PMID:18602130","1","1"
"PMID:18602967","1","1"
"PMID:18603625","1","1"
"PMID:18621119","1","1"
"PMID:18626888","1","1"
"PMID:18629307","1","1"
"PMID:18629315","1","1"
"PMID:18634814","1","1"
"PMID:18634860","1","1"
"PMID:18635664","1","1"
"PMID:18640724","1","1"
"PMID:18648085","1","1"
"PMID:18653720","1","1"
"PMID:18656497","1","1"
"PMID:18674613","1","1"
"PMID:18685712","1","1"
"PMID:18692564","1","1"
"PMID:18708132","1","1"
"PMID:18762243","1","1"
"PMID:18769493","1","1"
"PMID:18779953","1","1"
"PMID:18784759","1","1"
"PMID:18795170","1","1"
"PMID:18804091","1","1"
"PMID:18828448","1","1"
"PMID:18835618","1","1"
"PMID:18839522","1","1"
"PMID:18850357","1","1"
"PMID:18854640","1","1"
"PMID:18940246","1","1"
"PMID:18940961","1","1"
"PMID:18973879","1","1"
"PMID:19043201","1","1"
"PMID:19069654","1","1"
"PMID:19070471","1","1"
"PMID:19079714","1","1"
"PMID:19085997","1","1"
"PMID:19106226","1","1"
"PMID:19118610","1","1"
"PMID:19118620","1","1"
"PMID:19145065","1","1"
"PMID:19150460","1","1"
"PMID:19152832","1","1"
"PMID:19159674","1","1"
"PMID:19165384","1","1"
"PMID:19165396","1","1"
"PMID:19187594","1","1"
"PMID:19190125","1","1"
"PMID:19193734","1","1"
"PMID:19206145","1","1"
"PMID:19214582","1","1"
"PMID:19241440","1","1"
"PMID:19265281","1","1"
"PMID:19299448","1","1"
"PMID:19337518","1","1"
"PMID:19338011","1","1"
"PMID:19344668","1","1"
"PMID:19362454","1","1"
"PMID:19365547","1","1"
"PMID:19367084","1","1"
"PMID:19371625","1","1"
"PMID:19375902","1","1"
"PMID:19379760","1","1"
"PMID:19383540","1","1"
"PMID:19391110","1","1"
"PMID:19397962","1","1"
"PMID:19404784","1","1"
"PMID:19410640","1","1"
"PMID:19428328","1","1"
"PMID:19429406","1","1"
"PMID:19442818","1","1"
"PMID:19446808","1","1"
"PMID:19464569","1","1"
"PMID:19483384","1","1"
"PMID:19490990","1","1"
"PMID:19490992","1","1"
"PMID:19490993","1","1"
"PMID:19492234","1","1"
"PMID:19501113","1","1"
"PMID:19533667","1","1"
"PMID:19535786","1","1"
"PMID:19539015","1","1"
"PMID:19566492","1","1"
"PMID:19577632","1","1"
"PMID:19577633","1","1"
"PMID:19589859","1","1"
"PMID:19590677","1","1"
"PMID:19590682","1","1"
"PMID:19595749","1","1"
"PMID:19621129","1","1"
"PMID:19623578","1","1"
"PMID:19636671","1","1"
"PMID:19643169","1","1"
"PMID:19654042","1","1"
"PMID:19654335","1","1"
"PMID:19654912","1","1"
"PMID:19672408","1","1"
"PMID:19696011","1","1"
"PMID:19703529","1","1"
"PMID:19721353","1","1"
"PMID:19726171","1","1"
"PMID:19727571","1","1"
"PMID:19733639","1","1"
"PMID:19734673","1","1"
"PMID:19734697","1","1"
"PMID:19762394","1","1"
"PMID:19781091","1","1"
"PMID:19782717","1","1"
"PMID:19786794","1","1"
"PMID:19788891","1","1"
"PMID:19800343","1","1"
"PMID:19815845","1","1"
"PMID:19837096","1","1"
"PMID:19843953","1","1"
"PMID:19882337","1","1"
"PMID:19885997","1","1"
"PMID:19887539","1","1"
"PMID:19887736","1","1"
"PMID:19897005","1","1"
"PMID:19900470","1","1"
"PMID:19903717","1","1"
"PMID:19962423","1","1"
"PMID:19963360","1","1"
"PMID:20012598","1","1"
"PMID:20019905","1","1"
"PMID:20020863","1","1"
"PMID:20021041","1","1"
"PMID:20021136","1","1"
"PMID:20045047","1","1"
"PMID:20045927","1","1"
"PMID:20046027","1","1"
"PMID:20049119","1","1"
"PMID:20049203","1","1"
"PMID:20049207","1","1"
"PMID:20052771","1","1"
"PMID:20053350","1","1"
"PMID:20056826","1","1"
"PMID:20063364","1","1"
"PMID:20064783","1","1"
"PMID:20077207","1","1"
"PMID:20077217","1","1"
"PMID:20080174","1","1"
"PMID:20083559","1","1"
"PMID:20087668","1","1"
"PMID:20097460","1","1"
"PMID:20131380","1","1"
"PMID:20132880","1","1"
"PMID:20153348","1","1"
"PMID:20169576","1","1"
"PMID:20172022","1","1"
"PMID:20181937","1","1"
"PMID:20186393","1","1"
"PMID:20194071","1","1"
"PMID:20197112","1","1"
"PMID:20219646","1","1"
"PMID:20219716","1","1"
"PMID:20219890","1","1"
"PMID:20230880","1","1"
"PMID:20332010","1","1"
"PMID:20350546","1","1"
"PMID:20381603","1","1"
"PMID:20399831","1","1"
"PMID:20413367","1","1"
"PMID:20433902","1","1"
"PMID:20435109","1","1"
"PMID:20438831","1","1"
"PMID:20451883","1","1"
"PMID:20459034","1","1"
"PMID:20465369","1","1"
"PMID:20479570","1","1"
"PMID:20488217","1","1"
"PMID:20488778","1","1"
"PMID:20525538","1","1"
"PMID:20549613","1","1"
"PMID:20561153","1","1"
"PMID:20562219","1","1"
"PMID:20563930","1","1"
"PMID:20566332","1","1"
"PMID:20568448","1","1"
"PMID:20573718","1","1"
"PMID:20574914","1","1"
"PMID:20580663","1","1"
"PMID:20598115","1","1"
"PMID:20599497","1","1"
"PMID:20615422","1","1"
"PMID:20616205","1","1"
"PMID:20624442","1","1"
"PMID:20624455","1","1"
"PMID:20629314","1","1"
"PMID:20630653","1","1"
"PMID:20637251","1","1"
"PMID:20652474","1","1"
"PMID:20668312","1","1"
"PMID:20688129","1","1"
"PMID:20692330","1","1"
"PMID:20696184","1","1"
"PMID:20708073","1","1"
"PMID:20708649","1","1"
"PMID:20709143","1","1"
"PMID:20724799","1","1"
"PMID:20726872","1","1"
"PMID:20732377","1","1"
"PMID:20739668","1","1"
"PMID:20806395","1","1"
"PMID:20807317","1","1"
"PMID:20813173","1","1"
"PMID:20815788","1","1"
"PMID:20821433","1","1"
