"cid_or_cas","chem","cas","cid","category"
"26177","Tris(1,3-dichloro-2-propyl)phosphate","13674-87-8","26177","II"
"26975","4-Pentylphenol","14938-35-3","26975","II"
"28780","Benomyl","17804-35-2","28780","II"
"30541","Padimate-O","21245-02-3","30541","II"
"31200","Fenitrothion","122-14-5","31200","II"
"31373","Tetrachloroethylene","127-18-4","31373","II"
"35823","2,3',4,4',5-Pentachlorobiphenyl","31508-00-6","35823","II"
"36400","3,5,3',5'-Tetrachlorobiphenyl","33284-52-5","36400","II"
"37034","2,4,5,2',4',5'-Hexachlorobiphenyl","35065-27-1","37034","II"
"37175","Enilconazole","35554-44-0","37175","II"
"37803","2,2',5-Trichlorobiphenyl","37680-65-2","37803","II"
"38016","2,2',3,4',5',6-Hexachlorobiphenyl","38380-04-0","38016","II"
"38078","Glyphosate-isopropylammonium","38641-94-0","38078","II"
"39385","Triadimefon","43121-43-3","39385","II"
"39676","Vinclozolin","50471-44-8","39676","II"
"39729","2,3,7,8-Tetrabromodibenzo-4-dioxin","50585-41-6","39729","II"
"43226","Fenarimol","60168-88-9","43226","II"
"43234","Propiconazole","60207-90-1","43234","II"
"59693","Fadrozole","102676-47-1","59693","II"
"63090","3,4,5,3',4'-Pentachlorobiphenyl","57465-28-8","63090","II"
"66166","Bisphenol B","77-40-7","66166","II"
"67545","Perfluorododecanoic acid","307-55-1","67545","II"
"67821","Perfluoro-n-nonanoic acid","375-95-1","67821","II"
"68617","Sertraline","79617-96-2","68617","II"
"69619","1H,1H,2H,2H-Perfluorodecanol","678-39-7","69619","II"
"73665","Prochloraz","67747-09-5","73665","II"
"73675","Flusilazole","85509-19-9","73675","II"
"73864","Bisphenol AF","1478-61-1","73864","II"
"74483","Perfluorooctane sulfonic acid","1763-23-1","74483","II"
"77222","Perfluoro-n-undecanoic acid","2058-94-8","77222","II"
"83494","Phenol, 4,4'-(1,1-dimethyl-3-methylene-1,3-propanediyl)bis-","13464-24-9","83494","II"
"86102","Tebuconazole","107534-96-3","86102","II"
"86138","Fenbuconazole","114369-43-6","86138","II"
"89594","Nicotine","54-11-5","89594","II"
"95170","2,2',4,4'-Tetrabromodiphenyl ether","5436-43-1","95170","II"
"104741","Fulvestrant","129453-61-8","104741","II"
"104942","3,3',4,4',5,5'-Hexabromobiphenyl","60044-26-0","104942","II"
"107862","1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-","66640-60-6","107862","II"
"107985","Triptolide","38748-32-2","107985","II"
"108178","1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-","66640-61-7","108178","II"
"119115","1-Chloro-4-(2,2-dichloro-1-(4-chlorophenyl)ethenyl)-3-(methylsulfonyl)benzene","62938-14-1","119115","II"
"119354","1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-4-(methylsulfonyl)-","116806-76-9","119354","II"
"153962","1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-5-(methylsulfonyl)-","149949-88-2","153962","II"
"177033","2,4,6-Triphenyl-1-hexene","18964-53-9","177033","II"
"177947","4-hydroxy-2,3,3,4,5-pentachlorobiphenyl","152969-11-4","177947","II"
"186907","Aflatoxin B1","1162-65-8","186907","II"
"222284","Beta-Sitosterol","83-46-5","222284","II"
"232446","4,4'-Cyclohexylidenebisphenol","843-55-0","232446","II"
"338733","4-Nonylphenol, branched","84852-15-3","338733","II"
"442530","Ochratoxin A","303-47-9","442530","II"
"445154","Resveratrol","501-36-0","445154","II"
"445434","Cyanoginosin LR","101043-37-2","445434","II"
"456201","Ketoconazole","65277-42-1","456201","II"
"608116","Bisphenol E","2081-08-5","608116","II"
"623849","1,1-Bis(4-hydroxyphenyl)-1-phenylethane","1571-75-1","623849","II"
"2999413","Zeranol","26538-44-3","2999413","II"
"3016578","Tetrahydrofurandiol","50976-18-6","3016578","II"
"3317081","Epoxiconazole","133855-98-8","3317081","II"
"5280343","Quercetin","117-39-5","5280343","II"
"5280443","Apigenin","520-36-5","5280443","II"
"5280633","5-Caffeylquinic acid","906-33-2","5280633","II"
"5280961","Genistein","446-72-0","5280961","II"
"5281576","Zearalenone","17924-92-4","5281576","II"
"5281607","Chrysin","480-40-0","5281607","II"
"5281708","Daidzein","486-66-8","5281708","II"
"5282958","9,10-dihydroxy-12-octadecenoic acid","NA","5282958","II"
"5284469","Toxaphene","8001-35-2","5284469","II"
"5357402","Triphenyltin","892-20-6","5357402","II"
"5359596","Arsenic","7440-38-2","5359596","II"
"5462310","Carbon","7440-44-0","5462310","II"
"5901612","3-Benzylidene camphor","15087-24-8","5901612","II"
"6327815","Hexabutyldistannane","813-19-4","6327815","II"
"6434217","Enzacamene","36861-47-9","6434217","II"
"6440557","lambda-Cyhalothrin, (-)-","76703-65-6","6440557","II"
"6442842","Kappa-Bifenthrin","439680-76-9","6442842","II"
"6537961","Triticonazole","131983-72-7","6537961","II"
"15509894","2,3',4',6-Tetrabromodiphenyl ether","189084-62-6","15509894","II"
"15724678","Hexabromocyclododecane","25637-99-4","15724678","II"
"23669238","Potassium perfluorooctanesulfonate","2795-39-3","23669238","II"
"71311905","Atorvastatin calcium trihydrate","344423-98-9","71311905","II"
"86287518","Imidacloprid","138261-41-3","86287518","II"
"135","4-Hydroxybenzoic acid","99-96-7","135","III"
"177","Acetaldehyde","75-07-0","177","III"
"241","Benzene","71-43-2","241","III"
"356","Octane","111-65-9","356","III"
"359","Phloroglucinol","108-73-6","359","III"
"403","p-Aminophenol","123-30-8","403","III"
"527","Propionaldehyde","123-38-6","527","III"
"544","Arsenite","15502-74-6","544","III"
"654","Diethyl hydrogen phosphate","598-02-7","654","III"
"702","Ethanol","64-17-5","702","III"
"712","Formaldehyde","50-00-0","712","III"
"713","Formamide","75-12-7","713","III"
"807","Iodine","7553-56-2","807","III"
"887","Methanol","67-56-1","887","III"
"943","Nitrate ion","14797-55-8","943","III"
"948","Nitrogen oxide","10024-97-2","948","III"
"980","p-Nitrophenol","100-02-7","980","III"
"991","Parathion","56-38-2","991","III"
"1046","Pyrazinamide","98-96-4","1046","III"
"1140","Methylbenzene","108-88-3","1140","III"
"1486","2,4-Dichlorophenoxyacetic acid","94-75-7","1486","III"
"1489","4-(2,4-Dichlorophenoxy)butyric acid","94-82-6","1489","III"
"1615","3,4-Methylenedioxymethamphetamine","42542-10-9","1615","III"
"1639","2-Amino-1,3,4-triazole","61-82-5","1639","III"
"1678","3-Nitropropionic acid","504-88-1","1678","III"
"1982","Acephate","30560-19-1","1982","III"
"2078","Alachlor","15972-60-8","2078","III"
"2153","Theophylline","58-55-9","2153","III"
"2361","beta-Naphthoflavone","6051-87-2","2361","III"
"2478","Busulfan","55-98-1","2478","III"
"2730","Chlorpyrifos","2921-88-2","2730","III"
"2879","p-Cresol","106-44-5","2879","III"
"2907","Cyclophosphamide","50-18-0","2907","III"
"3033","Diclofenac","15307-86-5","3033","III"
"3039","Dichlorvos","62-73-7","3039","III"
"3048","Endrin","128-10-9","3048","III"
"3102","Benzophenone","119-61-9","3102","III"
"3120","Diuron","330-54-1","3120","III"
"3283","Diethyl ether","60-29-7","3283","III"
"3352","Fipronil","120068-37-3","3352","III"
"3397","Flutamide","13311-84-7","3397","III"
"3485","Glutaraldehyde","111-30-8","3485","III"
"3518","Guanethidine","55-65-2","3518","III"
"3589","Heptachlor","76-44-8","3589","III"
"3610","Hexylresorcinol","136-77-6","3610","III"
"3712","Indole-3-carbinol","700-06-1","3712","III"
"3763","Isoflurane","26675-46-7","3763","III"
"3767","Isoniazid","54-85-3","3767","III"
"3840","Kojic acid","501-30-4","3840","III"
"4096","Methamidophos","10265-92-6","4096","III"
"4130","Methyl parathion","298-00-0","4130","III"
"4534","Nordihydroguaiaretic acid","500-38-9","4534","III"
"4763","Phenobarbital","50-06-6","4763","III"
"4788","Phloretin","60-82-2","4788","III"
"4929","Prometryn","7287-19-6","4929","III"
"4933","Propanil","709-98-8","4933","III"
"5035","Raloxifene","84449-90-1","5035","III"
"5196","Carbamylhydrazine","57-56-7","5196","III"
"5235","Sodium fluoride","7681-49-4","5235","III"
"5240","Iodoacetic acid","64-69-7","5240","III"
"5355","Sulpiride","15676-16-1","5355","III"
"5455","Tetramethylthiuram disulfide","137-26-8","5455","III"
"5569","Trifluralin","1582-09-8","5569","III"
"5727","Zinc chloride","7646-85-7","5727","III"
"5743","Dexamethasone","50-02-2","5743","III"
"5770","Reserpine","50-55-5","5770","III"
"5803","3,3',5-Triiodothyroacetic acid","51-24-1","5803","III"
"5889","Dibenz(a,h)anthracene","53-70-3","5889","III"
"5921","N-Nitrosodiethylamine","55-18-5","5921","III"
"5943","Carbon tetrachloride","56-23-5","5943","III"
"5954","Benz(a)anthracene","56-55-3","5954","III"
"5995","Testosterone propionate","57-85-2","5995","III"
"6001","7,12-Dimethylbenz(a)anthracene","57-97-6","6001","III"
"6010","Methyltestosterone","58-18-4","6010","III"
"6115","Aniline","62-53-3","6115","III"
"6129","Carbaryl","63-25-2","6129","III"
"6167","Colchicine","64-86-8","6167","III"
"6212","Chloroform","67-66-3","6212","III"
"6279","Medroxyprogesterone 17-acetate","71-58-9","6279","III"
"6319","N,N'-Diphenyl-4-phenylenediamine","74-31-7","6319","III"
"6323","Methyl bromide","74-83-9","6323","III"
"6336","Myclobutanil","88671-89-0","6336","III"
"6338","Vinyl chloride","75-01-4","6338","III"
"6344","Dichloromethane","75-09-2","6344","III"
"6348","Carbon disulfide","75-15-0","6348","III"
"6354","Ethylene oxide","75-21-8","6354","III"
"6359","Bromodichloromethane","75-27-4","6359","III"
"6378","1,2-Propylene oxide","75-56-9","6378","III"
"6557","Isoprene","78-79-5","6557","III"
"6579","Acrylamide","79-06-1","6579","III"
"6597","Dichloroacetic acid","79-43-6","6597","III"
"6658","Methyl methacrylate","80-62-6","6658","III"
"6697","Benzanthrone","82-05-3","6697","III"
"6786","Dihexyl phthalate","84-75-3","6786","III"
"6815","Santowhite powder","85-60-9","6815","III"
"6860","Methylmercury","22967-92-6","6860","III"
"6899","2,6-Dichlorophenol","87-65-0","6899","III"
"6930","Versalide","88-29-9","6930","III"
"6950","Dinoseb","88-85-7","6950","III"
"6989","Thymol","89-83-8","6989","III"
"7112","4,4'-Dihydroxybiphenyl","92-88-6","7112","III"
"7175","Propyl p-hydroxybenzoate","94-13-3","7175","III"
"7206","2,4-D butyl ester","94-80-4","7206","III"
"7239","1,2-Dichlorobenzene","95-50-1","7239","III"
"7261","Toluene-2,4-diamine","95-80-7","7261","III"
"7270","Tetrachlorobenzene (mixed isomers)","12408-10-5","7270","III"
"7271","2,4,5-Trichlorophenol","95-95-4","7271","III"
"7285","1,2,3-Trichloropropane","96-18-4","7285","III"
"7290","3-Chloro-1,2-dihydroxypropane","96-24-2","7290","III"
"7381","p-tert-Butyl catechol","98-29-3","7381","III"
"7416","Nitrobenzene","98-95-3","7416","III"
"7473","4-Nitrotoluene","99-99-0","7473","III"
"7475","4-Nitroaniline","100-01-6","7475","III"
"7500","Ethylbenzene","100-41-4","7500","III"
"7501","Styrene","100-42-5","7501","III"
"7503","Benzyl chloride","100-44-7","7503","III"
"7563","p-Benzylphenol","101-53-1","7563","III"
"7565","p-Bromophenyl phenyl ether","101-55-3","7565","III"
"7579","Bis(4-aminophenyl) ether","101-80-4","7579","III"
"7618","Triethanolamine","102-71-6","7618","III"
"7628","Boric acid","10043-35-3","7628","III"
"7641","Di-(2-ethylhexyl) adipate","103-23-1","7641","III"
"7809","4-Xylene","106-42-3","7809","III"
"7812","4-Chloroaniline","106-47-8","7812","III"
"7814","1,4-Benzenediamine","106-50-3","7814","III"
"7833","Vinylcyclohexene dioxide","106-87-6","7833","III"
"7835","Epichlorohydrin","106-89-8","7835","III"
"7840","1-Bromopropane","106-94-5","7840","III"
"7845","1,3-Butadiene","106-99-0","7845","III"
"7855","Acrylonitrile","107-13-1","7855","III"
"7858","Allyl alcohol","107-18-6","7858","III"
"7904","Vinyl acetate","108-05-4","7904","III"
"7955","Melamine","108-78-1","7955","III"
"8019","Ethylene glycol monomethyl ether","109-86-4","8019","III"
"8028","Tetrahydrofuran","109-99-9","8028","III"
"8029","Furan","110-00-9","8029","III"
"8035","Acetonylacetone","110-13-4","8035","III"
"8058","Hexane","110-54-3","8058","III"
"8076","Ethylene glycol monoethyl ether","110-80-5","8076","III"
"8095","Ethoxyethanol acetate","111-15-9","8095","III"
"8133","Ethylene glycol monobutyl ether","111-76-2","8133","III"
"8141","Nonane","111-84-2","8141","III"
"8252","Propylene","115-07-1","8252","III"
"8305","Tetradifon","116-29-0","8305","III"
"8344","Bis(2-methoxyethyl) phthalate","117-82-8","8344","III"
"8376","Trinitrotoluene","118-96-7","8376","III"
"8445","p-Cresidine","120-71-8","8445","III"
"8461","2,4-Dinitrotoluene","121-14-2","8461","III"
"8554","Dimethyl phthalate","131-11-3","8554","III"
"8561","Diamyl phthalate","131-18-0","8561","III"
"8570","Benzophenone-6","131-54-4","8570","III"
"8722","Ziram","137-30-4","8722","III"
"8844","Diethyl adipate","141-28-6","8844","III"
"9153","Benzo(b)fluoranthene","205-99-2","9153","III"
"9158","Benzo(k)fluoranthene","207-08-9","9158","III"
"9161","Acenaphthylene","208-96-8","9161","III"
"9317","Lead acetate","301-04-2","9317","III"
"9502","Linuron","330-55-2","9502","III"
"9880","Cyproterone acetate","427-51-0","9880","III"
"10107","Chlorfenvinphos","470-90-6","10107","III"
"10521","Malachite Green carbinol base","510-13-4","10521","III"
"10631","Medroxyprogesterone","520-85-4","10631","III"
"10943","M-Dichlorobenzene","541-73-1","10943","III"
"10986","Cadmium acetate","543-90-8","10986","III"
"11164","Glycidol","556-52-5","11164","III"
"11169","Octamethylcyclotetrasiloxane","556-67-2","11169","III"
"11192","Zinc acetate","557-34-6","11192","III"
"11294","Malachite green","569-64-2","11294","III"
"11313","Congo red","573-58-0","11313","III"
"11843","2-Methylresorcinol","608-25-3","11843","III"
"11855","Pentachlorobenzene","608-93-5","11855","III"
"12433","Dibromoacetic acid","631-64-1","12433","III"
"12688","Dibutyldichlorotin","683-18-1","12688","III"
"12898","Tolylfluanid","731-27-1","12898","III"
"13263","Ametryn","834-12-8","13263","III"
"13282","Phosphoric acid, diphenyl ester","838-85-7","13282","III"
"13387","1-Methyl-2-pyrrolidinone","872-50-4","13387","III"
"13618","2,3,6-Trichlorophenol","933-75-5","13618","III"
"13636","2,3,5,6-Tetrachlorophenate","935-95-5","13636","III"
"13769","Testolactone","968-93-4","13769","III"
"13791","Estradiol valerate","979-32-8","13791","III"
"13836","Chlormequat","999-81-5","13836","III"
"14052","Ethambutol","74-55-5","14052","III"
"14327","4-Cyclohexylphenol","1131-60-8","14327","III"
"14347","4-Hydroxybenzophenone","1137-42-4","14347","III"
"14825","Manganese oxide","1317-35-7","14825","III"
"15032","Pregnenolone carbonitrile","1434-54-4","15032","III"
"15098","Tetrabutyltin","1461-25-2","15098","III"
"15413","t-Butyl methyl ether","1634-04-4","15413","III"
"15415","Malaoxon","1634-78-2","15415","III"
"15529","4-Hydroxyazobenzene","1689-82-3","15529","III"
"15531","Bromoxynil","1689-84-5","15531","III"
"15805","Nafoxidine hydrochloride","1847-63-8","15805","III"
"15910","Chlorothalonil","1897-45-6","15910","III"
"15938","Paraquat dichloride","1910-42-5","15938","III"
"16653","Molinate","2212-67-1","16653","III"
"16945","Mirex","2385-85-5","16945","III"
"17097","2,4,2',4'-Tetrachlorobiphenyl","2437-79-8","17097","III"
"17412","4-Nitro-3-cresol","2581-34-2","17412","III"
"17570","Bis(4-oxyphenyl)sulfide","2664-63-3","17570","III"
"17730","Sunset Yellow","2783-94-0","17730","III"
"18611","Basic Violet 2","3248-91-7","18611","III"
"18617","Dibromoacetonitrile","3252-43-5","18617","III"
"18831","2-Chloro-4,6-diamino-s-triazine","3397-62-4","18831","III"
"19943","Diquat dichloride","4032-26-2","19943","III"
"20774","Quadrosilan","4657-20-9","20774","III"
"21013","2,3,4,5-Tetrachlorophenate","4901-51-3","21013","III"
"21803","Chlorpyrifos-methyl","5598-13-0","21803","III"
"22544","Chlordimeform","6164-98-3","22544","III"
"23266","Sodium silicate","1344-09-8","23266","III"
"23930","Manganese","7439-96-5","23930","III"
"23938","Palladium","7440-05-3","23938","III"
"23976","Chromium","7440-47-3","23976","III"
"23989","Uranium","7440-61-1","23989","III"
"24293","Cesium chloride","7647-17-8","24293","III"
"24424","Zinc Sulfate","7733-02-0","24424","III"
"24502","Potassium dichromate","7778-50-9","24502","III"
"24586","Nickel sulfate","7786-81-4","24586","III"
"24639","Ammonium perchlorate","7790-98-9","24639","III"
"24748","Carmellose","9000-11-7","24748","III"
"24870","Chlorine dioxide","10049-04-4","24870","III"
"26042","Titanium dioxide","13463-67-7","26042","III"
"26108","Methylenedianiline dihydrochloride","13552-44-8","26108","III"
"26124","Quinalphos","13593-03-8","26124","III"
"26229","4-Chlorophenoxyacetic acid","122-88-3","26229","III"
"27375","Chlorotoluron","15545-48-9","27375","III"
"27582","2,3,4-Trichlorophenol","15950-66-0","27582","III"
"27668","Chromium, ion (Cr3 )","16065-83-1","27668","III"
"28061","Ornidazole","16773-42-5","28061","III"
"29131","Chromium hexavalent ion","18540-29-9","29131","III"
"29511","Tetramethylene dibenzoate","19224-27-2","29511","III"
"30479","Metribuzin","21087-64-9","30479","III"
"30773","Cyanazine","21725-46-2","30773","III"
"32184","Triazophos","24017-47-8","32184","III"
"33263","2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphenol","25973-55-1","33263","III"
"33599","Diisodecyl phthalate","26761-40-0","33599","III"
"33741","Tramadol","27203-92-5","33741","III"
"34466","Octachlorostyrene","29082-74-4","34466","III"
"35781","5,7-Dihydroxytryptamine","31363-74-3","35781","III"
"36159","2,2',4,4',5-Pentabromodiphenyl ether","60348-60-9","36159","III"
"36187","3,4,3',4'-Tetrachlorobiphenyl","32598-13-3","36187","III"
"36231","3,4,5,3',4',5'-Hexachlorobiphenyl","32774-16-6","36231","III"
"36242","Procymidone","32809-16-8","36242","III"
"36324","Amitraz","33089-61-1","36324","III"
"37248","2,5,2',5'-Tetrachlorobiphenyl","35693-99-3","37248","III"
"37517","Iprodione","36734-19-7","37517","III"
"37542","Ribavirin","36791-04-5","37542","III"
"38012","2,2',3,5',6-Pentachlorobiphenyl","38379-99-6","38012","III"
"38018","2,3,4,2',3',4'-Hexachlorobiphenyl","38380-07-3","38018","III"
"38019","2,3,3',4,4',5-Hexachlorobiphenyl","38380-08-4","38019","III"
"38037","3,3',5-Trichlorobiphenyl","38444-87-0","38037","III"
"38251","1,2,3,4,7,8-Hexachlorodibenzodioxin","39227-28-6","38251","III"
"38253","1,2,4-Trichlorodibenzo-1,4-dioxin","39227-58-2","38253","III"
"38439","1,2,3,7,8-Pentachlorodibenzo-p-dioxin","40321-76-4","38439","III"
"38479","Pendimethalin","40487-42-1","38479","III"
"38779","Profenofos","41198-08-7","38779","III"
"39728","Dibenzo(b,e)(1,4)dioxin, 2,3-dibromo-7,8-dichloro-","50585-40-5","39728","III"
"40326","Permethrin","52645-53-1","40326","III"
"40463","Permethrin, cis-","61949-76-6","40463","III"
"40470","Aroclor 1254","11097-69-1","40470","III"
"40585","Deltamethrin","52918-63-5","40585","III"
"41478","Tetrakis(hydroxymethyl)phosphonium sulfate","55566-30-8","41478","III"
"42027","2-Hydroxybenzo(a)pyrene","56892-30-9","42027","III"
"42128","2,3,4,7,8-Pentachlorodibenzofuran","57117-31-4","42128","III"
"42948","2,4,5,2',4',5'-Hexabromobiphenyl","59080-40-9","42948","III"
"51439","2,2',4,4',5,5'-Hexachlorodiphenyl ether","71859-30-8","51439","III"
"54454","Simvastatin","79902-63-9","54454","III"
"57363","Finasteride","98319-26-7","57363","III"
"60974","Clomiphene citrate","50-41-9","60974","III"
"61247","tert-Amyl methyl ether","994-05-8","61247","III"
"61640","Uranyl nitrate hexahydrate","13520-83-7","61640","III"
"62311","o-Dianisidine dihydrochloride","20325-40-0","62311","III"
"63103","Aroclor 1242","53469-21-9","63103","III"
"66030","4-Dodecylphenol","104-43-8","66030","III"
"66495","Egmol","81-92-5","66495","III"
"66603","2,3,5,6-Tetrachlorohydroquinone","87-87-6","66603","III"
"67114","4-(Diethylamino)benzaldehyde","120-21-8","67114","III"
"67215","Leucomalachite green","129-73-7","67215","III"
"67815","1-Perfluorobutanesulfonic acid","375-73-5","67815","III"
"68911","Artemether","71963-77-4","68911","III"
"69059","Diisopentyl phthalate","605-50-5","69059","III"
"69150","4,4'-Dihydoxy-benzophenone","611-99-4","69150","III"
"73852","2,4,4'-Trihydroxybenzophenone","1470-79-7","73852","III"
"75371","N,N-Diphenyl-p-phenylenediamine","2350-01-8","75371","III"
"76716","Phenol, 4,4'-(9H-fluoren-9-ylidene)bis-","3236-71-3","76716","III"
"77455","2-(2'-Hydroxy-3',5'-di-tert-butylphenyl)benzotriazole","3846-71-7","77455","III"
"81259","4,4'-(4-Methylpentane-2,2-diyl)diphenol","6807-17-6","81259","III"
"83975","Tetramethrin","7696-12-0","83975","III"
"84475","Dicapryl succinate","14491-66-8","84475","III"
"84691","Cisplatin","14283-03-5","84691","III"
"86132","Cyproconazole","94361-06-5","86132","III"
"86393","2,3',4',6-Tetrachlorodiphenyl ether","130892-66-9","86393","III"
"86429","Flufenacet","142459-58-3","86429","III"
"91469","Equol","531-95-3","91469","III"
"91632","Photomirex","39801-14-4","91632","III"
"91656","Bitertanol","55179-31-2","91656","III"
"91662","2,2',4,6,6'-Pentachlorobiphenyl","56558-16-8","91662","III"
"91699","Triflumizol","68694-11-1","91699","III"
"91753","Pyriproxyfen","95737-68-1","91753","III"
"93547","2,2',4,5,6'-Pentachlorodiphenyl ether","130892-67-0","93547","III"
"102614","2,3-Bis(4-hydroxyphenyl)-propionitrile","1428-67-7","102614","III"
"102724","4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol","1943-97-1","102724","III"
"105036","4-Hydroxy-2',4',6'-trichlorobiphenyl","14962-28-8","105036","III"
"105075","Iron dextran","10124-49-9","105075","III"
"107698","1,2,3,4,6,7-Hexachloronaphthalene","103426-96-6","107698","III"
"107904","Dityrosine","980-21-2","107904","III"
"108023","2,3',4,4'5,5'-Hexabromobiphenyl","67888-99-7","108023","III"
"108132","1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-3'-(methylsulfonyl)-","66640-58-2","108132","III"
