Primary identifier,Name,Literature identifier,Outcome
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Immune
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Immune
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:5235,Sodium fluoride,"Narayana M.V., et al., 1994",Reproductive
CID:5235,Sodium fluoride,"Narayana M.V., et al., 1994",Reproductive
CID:3347,Fenvalerate,PMID:10064545,Tumors
CID:4767,Phenothrin,PMID:10064545,Tumors
CID:3347,Fenvalerate,PMID:10064545,Tumors
CID:4767,Phenothrin,PMID:10064545,Tumors
CID:9317,Lead acetate,PMID:10091860,Neurological
CID:9317,Lead acetate,PMID:10091860,Neurological
CID:9317,Lead acetate,PMID:10091860,Neurological
CID:9317,Lead acetate,PMID:10091860,Neurological
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:1752,4-Nonylphenol,PMID:10097800,Reproductive
CID:4115,Methoxychlor,PMID:10188188,Hepatic
CID:4115,Methoxychlor,PMID:10188188,Hepatic
CID:4115,Methoxychlor,PMID:10188188,Reproductive
CID:4115,Methoxychlor,PMID:10188188,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Pregnancy
CID:4115,Methoxychlor,PMID:10188190,Cognitive-Behavioral
CID:4115,Methoxychlor,PMID:10188190,Cognitive-Behavioral
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Hepatic
CID:4115,Methoxychlor,PMID:10188190,Hepatic
CID:4115,Methoxychlor,PMID:10188190,Hepatic
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Neurological
CID:4115,Methoxychlor,PMID:10188190,Neurological
CID:4115,Methoxychlor,PMID:10188190,Neurological
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Pregnancy
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:4115,Methoxychlor,PMID:10188190,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Immune
CID:36242,Procymidone,PMID:10188193,Immune
CID:36242,Procymidone,PMID:10188193,Immune
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188193,Cancer
CID:36242,Procymidone,PMID:10188193,Pregnancy
CID:36242,Procymidone,PMID:10188193,Pregnancy
CID:36242,Procymidone,PMID:10188193,Pregnancy
CID:36242,Procymidone,PMID:10188193,Pregnancy
CID:36242,Procymidone,PMID:10188193,Reproductive
CID:36242,Procymidone,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Developmental
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10188194,"Pregnancy, Development"
CID:36242,Procymidone,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:36242,Procymidone,PMID:10188194,Reproductive
CID:36242,Procymidone,PMID:10188194,Reproductive
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:36242,Procymidone,PMID:10188194,Pregnancy
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10188194,Reproductive
CID:9502,Linuron,PMID:10188194,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:448537,Diethylstilbestrol,PMID:10210696,Reproductive
CID:6579,Acrylamide,PMID:10220851,Thyroid
CID:6579,Acrylamide,PMID:10220851,Thyroid
CID:6579,Acrylamide,PMID:10220851,Thyroid
CID:6579,Acrylamide,PMID:10220851,Thyroid
CID:6579,Acrylamide,PMID:10220851,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",PMID:10220852,Thyroid
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Thyroid
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",PMID:10220852,Reproductive
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Reproductive
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Reproductive
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Reproductive
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",PMID:10220852,Reproductive
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:119587,"1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:146640,"3-Methylsulfonyl-2,3',4',5-tetrachlorobiphenyl",PMID:10330683,Thyroid
CID:119587,"1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:146640,"3-Methylsulfonyl-2,3',4',5-tetrachlorobiphenyl",PMID:10330683,Thyroid
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:119587,"1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,Thyroid
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10366543,Reproductive
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10366543,Reproductive
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10366543,Reproductive
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10366543,Reproductive
CID:38251,"1,2,3,4,7,8-Hexachlorodibenzodioxin",PMID:10366543,Reproductive
CID:38439,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",PMID:10366543,Reproductive
CID:448537,Diethylstilbestrol,PMID:10377036,Reproductive
CID:448537,Diethylstilbestrol,PMID:10377036,Cancer
CID:448537,Diethylstilbestrol,PMID:10397250,Reproductive
CID:448537,Diethylstilbestrol,PMID:10397250,Reproductive
CAS:58-89-9,Lindane,PMID:10467719,Reproductive
CAS:58-89-9,Lindane,PMID:10467719,Cell damage
CAS:58-89-9,Lindane,PMID:10467719,Reproductive
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Cell damage
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Cell damage
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Cell damage
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Cell damage
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Reproductive
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Reproductive
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Reproductive
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10492900,Reproductive
CID:707035,2-Benzimidazolethiol,PMID:10496380,Immune
CID:707035,2-Benzimidazolethiol,PMID:10496380,Immune
CID:707035,2-Benzimidazolethiol,PMID:10496380,Neurological
CID:707035,2-Benzimidazolethiol,PMID:10496380,Hepatic
CID:707035,2-Benzimidazolethiol,PMID:10496380,Hepatic
CID:707035,2-Benzimidazolethiol,PMID:10496380,Thyroid
CID:707035,2-Benzimidazolethiol,PMID:10496380,Thyroid
CID:6623,Bisphenol A,PMID:10548101,Reproductive
CID:6623,Bisphenol A,PMID:10548101,Developmental
CID:6623,Bisphenol A,PMID:10548101,Reproductive
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:25517,Ammonium chloride,PMID:10550527,Cancer
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Immune
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Immune
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Reproductive
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Cancer
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Cancer
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Hepatic
CID:15625,Tetrachlorodibenzodioxin,PMID:10568697,Hepatic
CID:6623,Bisphenol A,PMID:10597890,Reproductive
CID:6623,Bisphenol A,PMID:10597890,Reproductive
CID:40470,Aroclor 1254,PMID:10614638,Neurological
CID:40470,Aroclor 1254,PMID:10614638,Neurological
CID:40470,Aroclor 1254,PMID:10614638,Neurological
CID:40470,Aroclor 1254,PMID:10614638,Thyroid
CID:40470,Aroclor 1254,PMID:10614638,Thyroid
CID:6348,Carbon disulfide,PMID:10627660,Adrenal
CID:6348,Carbon disulfide,PMID:10627660,Adrenal
CID:6348,Carbon disulfide,PMID:10627660,Reproductive
CID:6348,Carbon disulfide,PMID:10627660,Reproductive
CID:6348,Carbon disulfide,PMID:10627660,Reproductive
CID:6348,Carbon disulfide,PMID:10627660,Reproductive
CID:456201,Ketoconazole,PMID:10630580,Reproductive
CID:59693,Fadrozole,PMID:10630580,Reproductive
CID:59693,Fadrozole,PMID:10630580,Reproductive
CID:59693,Fadrozole,PMID:10630580,Reproductive
CID:657298,Propyl thiouracil,PMID:10630580,Reproductive
CID:657298,Propyl thiouracil,PMID:10630580,Thyroid
CID:3026,Dibutyl phthalate,PMID:10641015,Reproductive
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10641015,Reproductive
CID:448537,Diethylstilbestrol,PMID:10641015,Reproductive
CID:3397,Flutamide,PMID:10641015,Reproductive
CID:456201,Ketoconazole,PMID:10641015,Reproductive
CID:57363,Finasteride,PMID:10641015,Reproductive
CID:3026,Dibutyl phthalate,PMID:10641015,Reproductive
CID:448537,Diethylstilbestrol,PMID:10641015,Reproductive
CID:9880,Cyproterone acetate,PMID:10641015,Reproductive
CID:3026,Dibutyl phthalate,PMID:10641015,Reproductive
CID:39676,Vinclozolin,PMID:10641015,Reproductive
CID:3397,Flutamide,PMID:10641015,Reproductive
CID:39676,Vinclozolin,PMID:10641015,Reproductive
CID:456201,Ketoconazole,PMID:10641015,Reproductive
CID:57363,Finasteride,PMID:10641015,Reproductive
CID:30773,Cyanazine,PMID:10647918,Reproductive
CID:2256,Atrazine,PMID:10696778,Reproductive
CID:2256,Atrazine,PMID:10696778,Cognitive-Behavioral
CID:2256,Atrazine,PMID:10696778,Reproductive
CID:2256,Atrazine,PMID:10696778,Metabolic
CID:2256,Atrazine,PMID:10696778,Reproductive
CID:2256,Atrazine,PMID:10696778,Reproductive
CID:2256,Atrazine,PMID:10696778,Pregnancy
CID:3035,Dichlorodiphenyl dichloroethylene,PMID:10737536,Reproductive
CID:5280961,Genistein,PMID:10737721,Reproductive
CID:5280961,Genistein,PMID:10737721,Reproductive
CID:5280961,Genistein,PMID:10737721,Reproductive
CID:5280961,Genistein,PMID:10737721,Tumors
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108132,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-3'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:115218,"1,1'-Biphenyl, 2,2',3,4,5,5'-hexachloro-3'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119354,"1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-4-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119383,"1,1'-Biphenyl, 2,2',3,3',4',6-hexachloro-5-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119587,"1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:146640,"3-Methylsulfonyl-2,3',4',5-tetrachlorobiphenyl",PMID:10739067,Thyroid
CID:153962,"1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-5-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108132,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-3'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:115218,"1,1'-Biphenyl, 2,2',3,4,5,5'-hexachloro-3'-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119354,"1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-4-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119383,"1,1'-Biphenyl, 2,2',3,3',4',6-hexachloro-5-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:119587,"1,1'-Biphenyl, 2,2',4',5-tetrachloro-3-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:146640,"3-Methylsulfonyl-2,3',4',5-tetrachlorobiphenyl",PMID:10739067,Thyroid
CID:153962,"1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-5-(methylsulfonyl)-",PMID:10739067,Thyroid
CID:3036,Chlorophenothane,PMID:10746934,Cell damage
CID:3036,Chlorophenothane,PMID:10746934,Cell damage
CID:3036,Chlorophenothane,PMID:10746934,Cell damage
CID:3036,Chlorophenothane,PMID:10746934,Cell damage
CID:3036,Chlorophenothane,PMID:10746934,Neurological
CID:3036,Chlorophenothane,PMID:10746934,Neurological
CID:3036,Chlorophenothane,PMID:10746934,Neurological
CID:3036,Chlorophenothane,PMID:10746934,Neurological
CID:2256,Atrazine,PMID:10746939,Reproductive
CID:4937,Propazine,PMID:10746939,Reproductive
CID:5216,Simazine,PMID:10746939,Reproductive
CID:1752,4-Nonylphenol,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:5991,Ethinylestradiol,PMID:10746942,Reproductive
CID:6623,Bisphenol A,PMID:10746942,Reproductive
CID:8814,4-tert-Octylphenol,PMID:10746942,Reproductive
CID:1752,4-Nonylphenol,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:5991,Ethinylestradiol,PMID:10746942,Reproductive
CID:1752,4-Nonylphenol,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:8814,4-tert-Octylphenol,PMID:10746942,Reproductive
CID:1752,4-Nonylphenol,PMID:10746942,Reproductive
CID:5991,Ethinylestradiol,PMID:10746942,Reproductive
CID:6623,Bisphenol A,PMID:10746942,Reproductive
CID:6623,Bisphenol A,PMID:10746942,Reproductive
CID:8814,4-tert-Octylphenol,PMID:10746942,Reproductive
CID:1752,4-Nonylphenol,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:4115,Methoxychlor,PMID:10746942,Reproductive
CID:5991,Ethinylestradiol,PMID:10746942,Reproductive
CID:8814,4-tert-Octylphenol,PMID:10746942,Reproductive
CID:8814,4-tert-Octylphenol,PMID:10746942,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Thyroid
CID:15413,t-Butyl methyl ether,PMID:10746943,Thyroid
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Hepatic
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Reproductive
CID:15413,t-Butyl methyl ether,PMID:10746943,Adrenal
CID:15413,t-Butyl methyl ether,PMID:10746943,Adrenal
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10762434,Reproductive
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10762434,Hepatic
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10762434,Hepatic
CID:8343,Bis(2-ethylhexyl) phthalate,PMID:10762434,Reproductive
CID:20774,Quadrosilan,PMID:1080335,Cognitive-Behavioral
CID:20774,Quadrosilan,PMID:1080335,Reproductive
CID:20774,Quadrosilan,PMID:1080335,Reproductive
CID:20774,Quadrosilan,PMID:1080335,Reproductive
CID:20774,Quadrosilan,PMID:1080335,Reproductive
CID:20774,Quadrosilan,PMID:1080335,Reproductive
CID:20774,Quadrosilan,PMID:1080337,Reproductive
CID:20774,Quadrosilan,PMID:1080337,Reproductive
CID:222284,Beta-Sitosterol,PMID:10825674,Pregnancy
CID:222284,Beta-Sitosterol,PMID:10825674,Pregnancy
CID:222284,Beta-Sitosterol,PMID:10825674,Pregnancy
CID:4115,Methoxychlor,PMID:10825674,Pregnancy
CID:4115,Methoxychlor,PMID:10825674,Pregnancy
CID:4115,Methoxychlor,PMID:10825674,Pregnancy
CID:4115,Methoxychlor,PMID:10825674,Pregnancy
CID:6623,Bisphenol A,PMID:10825674,Pregnancy
CID:6623,Bisphenol A,PMID:10825674,Pregnancy
CID:6623,Bisphenol A,PMID:10825674,Pregnancy
CID:8814,4-tert-Octylphenol,PMID:10825674,Pregnancy
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,Neurological
CID:4096,Methamidophos,PMID:10828210,"Pregnancy, Development"
CID:4096,Methamidophos,PMID:10828210,Reproductive
CID:4096,Methamidophos,PMID:10828210,Pregnancy
CID:4096,Methamidophos,PMID:10828210,Pregnancy
